"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"4",100,0.74,32.2,10,1.05,4.9,"minimum",34291,0.0505244406293892
"1",100,1.53,28.1,5.8,1.05,21.9,"minimum",31140,0.522390914047271
"5",100,0.72,32.5,4.3,1.05,8.6,"minimum",8089,0
"9",100,1.53,28.2,5.8,1.05,21.9,"minimum",5434,0.471171673743136
"2",100.1,1.64,44,6.2,1.04,49,"minimum",4320,1.0190451413323
"3",121.2,5,1.2,2.1,1.97,2.1,"minimum",1510,2298.04221868108
"11",100,1.52,28.1,5.8,1.05,21.8,"minimum",1411,3.52856720544009
"16",100.1,1.64,44.7,6.1,1.04,50,"minimum",924,15.3135244719841
"13",100,1.52,28.1,5.8,1.05,21.9,"minimum",894,8.01328873935487
"18",100,5,22.4,19.3,1.06,4.1,"saddle",604,4.1604898589664
"10",100.7,5,19.2,14,0.82,19.2,"saddle",567,50.0754607727503
"19",100,0.74,32.1,10,1.05,4.9,"minimum",518,0.190864458059259
"17",100,1.53,28.2,5.8,1.05,22,"minimum",339,0.204199335111688
"63",100.1,1.64,43.9,6.2,1.04,48.9,"minimum",339,0.393778307297661
"7",100,1.52,28.1,5.8,1.05,21.7,"minimum",264,0.90781414464391
"25",100,1.53,28.2,5.8,1.05,22.1,"minimum",188,1.79557383482872
"61",100.1,1.64,44,6.2,1.04,49.1,"minimum",134,0.264803042640507
"26",121,5,1,2.3,1.96,1,"saddle",106,2299.92647577512
"112",100.1,1.69,34.2,6.4,1.04,34.4,"saddle",103,0.465578497504015
"94",100.1,1.69,33.7,6.4,1.04,33.6,"saddle",102,0.557487754238669
"67",100.1,1.69,33.5,6.4,1.04,33.3,"saddle",97,0.786066442423076
"127",100.1,1.69,34.1,6.4,1.04,34.3,"saddle",94,1.10126171948391
"55",100,1.52,28.1,5.8,1.05,21.6,"minimum",92,0.158385502901341
"51",100.1,1.69,34.3,6.4,1.04,34.6,"saddle",91,0.774073618570795
"154",100.1,1.69,33.6,6.4,1.04,33.4,"saddle",88,0.353182221470035
"76",100.1,1.69,33.4,6.4,1.04,33.1,"saddle",86,0.458387754833089
"128",100.1,1.69,33.3,6.4,1.04,32.9,"saddle",83,0.3220926171212
"69",100.1,1.69,33.8,6.4,1.04,33.8,"saddle",81,0.944559777193853
"34",100.1,0.65,33.8,6.4,1.04,6.4,"saddle",80,0.944559777193836
"178",100.1,1.69,34.5,6.4,1.04,34.9,"saddle",80,0.531412642984898
"242",100.1,1.64,44.1,6.2,1.04,49.1,"minimum",77,2.04613134917274
"146",100.1,1.69,33.6,6.4,1.04,33.5,"saddle",74,1.29958123783156
"40",100,1.54,28.2,5.8,1.05,22.2,"minimum",72,0.114637997678504
"157",100.1,1.69,33.3,6.4,1.04,33,"saddle",72,1.08594134969676
"82",100.1,1.69,33.2,6.4,1.04,32.8,"saddle",71,0.634248270936611
"20",99.9,1.04,28.6,4.4,1.05,13.3,"saddle",68,0.621287728914715
"35",100.1,1.69,33.9,6.4,1.04,33.9,"saddle",67,0.403828522358053
"159",100.1,1.69,34.4,6.4,1.04,34.8,"saddle",66,1.24915694947607
"68",100.1,1.69,34.2,6.4,1.04,34.5,"saddle",64,1.70652361869822
"153",100.1,1.69,34.4,6.4,1.04,34.7,"saddle",64,0.349289355205478
"210",100.1,1.69,34.6,6.4,1.04,35.1,"saddle",63,0.877508007209288
"8",100.1,1.64,44.6,6.1,1.04,49.9,"minimum",62,12.1768055137206
"129",100.1,1.69,33.1,6.4,1.04,32.6,"saddle",62,0.377200486458598
"123",100.1,1.69,33.9,6.4,1.04,34,"saddle",59,1.50902050656033
"38",100.1,1.69,34,6.4,1.04,34.1,"saddle",58,0.665292779883133
"151",100.1,1.69,33.4,6.4,1.04,33.2,"saddle",58,1.72663929610943
"42",100.1,1.69,33.5,6.4,1.04,33.2,"saddle",55,0.337099195059016
"231",100.1,1.64,43.9,6.2,1.04,48.8,"minimum",55,1.38560953653995
"48",99.9,1.04,28.6,4.4,1.05,13.4,"saddle",52,1.68957858996893
"6",100.1,1.65,43.4,6.2,1.04,48.2,"minimum",51,7.67204815644813
"132",100.1,1.69,34.1,6.4,1.04,34.2,"saddle",51,0.328796527108968
"208",100.1,1.69,34.7,6.4,1.04,35.2,"saddle",50,0.377299625109302
"62",100.1,1.64,44.2,6.2,1.04,49.3,"minimum",49,1.59310355554877
"138",100.1,1.69,33,6.4,1.04,32.4,"saddle",48,0.320518759614229
"218",100.1,1.69,34.8,6.4,1.04,35.4,"saddle",48,0.59567548540371
"32",100.1,1.64,44.1,6.2,1.04,49.2,"minimum",47,0.727653730568193
"204",100.1,1.64,43.8,6.2,1.04,48.7,"minimum",47,0.596034507974258
"90",100.1,1.69,32.9,6.4,1.04,32.3,"saddle",46,0.499096742069493
"274",100.1,1.64,43.7,6.2,1.04,48.6,"minimum",44,0.209439484714378
"36",100.1,1.65,42.8,6.2,1.04,47.3,"minimum",42,3.85027323036838
"53",100.1,1.69,33.7,6.4,1.04,33.7,"saddle",42,1.993463771049
"298",100.1,1.65,42.5,6.2,1.04,46.9,"minimum",41,1.65939128606919
"56",100.1,1.65,42.3,6.2,1.04,46.6,"minimum",40,1.10543805171066
"250",100.1,1.64,43.8,6.2,1.04,48.8,"minimum",40,0.17228575823568
"71",100,1.54,28.3,5.9,1.05,22.3,"minimum",39,2.2724221681414
"166",100.1,1.65,43.3,6.2,1.04,48,"minimum",38,8.62978929378462
"281",100.1,1.65,43,6.2,1.04,47.6,"minimum",38,4.96092899844538
"191",100.1,1.65,42.6,6.2,1.04,47,"minimum",36,2.89794051349006
"193",100.1,1.65,43.1,6.2,1.04,47.7,"minimum",36,7.10955319784683
"57",100.1,1.65,43.2,6.2,1.04,47.9,"minimum",35,6.23362593748525
"83",100.1,1.69,34.6,6.4,1.04,35,"saddle",35,0.320365980836348
"44",100.1,1.69,33.8,6.4,1.04,33.7,"saddle",34,0.322157654495901
"195",100.1,1.69,34.9,6.4,1.04,35.6,"saddle",34,0.970612036982243
"197",100.1,1.69,34,6.4,1.04,34.2,"saddle",34,2.24556997250635
"317",100.1,1.65,42.7,6.2,1.04,47.2,"minimum",34,2.36623144791995
"133",100.1,1.69,33,6.4,1.04,32.5,"saddle",33,0.877333325275013
"172",100.1,1.69,34.7,6.4,1.04,35.3,"saddle",33,1.3826107828128
"205",100.1,1.65,43.4,6.2,1.04,48.1,"minimum",33,11.4401777582599
"236",100.1,1.69,35,6.4,1.04,35.7,"saddle",32,0.407813245167301
