"","startRSS","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","optimRSS","scenario","set"
"min",544,99.997,0.717,32.447,4.286,1.05,8.55,2.49697430736082e-12,"s1","true"
"max",35463988,100.003,0.723,32.558,4.317,1.05,8.65,0.000629654122463895,"s1","true"
"median",897537,100,0.72,32.5,4.3,1.05,8.6,1.5114426009348e-06,"s1","true"
"mad",1180419,0,0,0.002,0.001,0,0,2.11380315756927e-06,"s1","true"
"min.1",143,99.944,0.654,1.036,2.059,0.708,1,0.0101532766975413,"s1","alt"
"max.1",41612914,121.181,5,44.698,19.292,1.971,50,4380.97615560929,"s1","alt"
"median.1",1060962,100.039,1.525,32.156,6.165,1.047,21.87,0.120856514488054,"s1","alt"
"mad.1",1454207,0.041,0.173,5.938,0.53,0.003,25.09,0.164122904422496,"s1","alt"
"min.2",2648,100.006,0.735,27.856,5.648,1.04,4.84,0.0105071443328325,"s1","error"
"max.2",15290067,100.101,1.693,44.689,10.454,1.051,50,0.598324230659071,"s1","error"
"median.2",1090636,100.086,1.677,32.234,6.355,1.041,31.11,0.456968910350114,"s1","error"
"mad.2",1479867,0.01,0.015,5.717,0.062,0.001,11.2,0.129908784634145,"s1","error"
"min.3",273,99.997,0.717,32.426,4.282,1.05,8.54,1.03910268316171e-12,"s2","true"
"max.3",18983885,100.003,0.724,32.571,4.319,1.05,8.66,0.000477859340494078,"s2","true"
"median.3",451439,100,0.72,32.5,4.3,1.05,8.6,1.5352858289659e-06,"s2","true"
"mad.3",592054,0,0,0.002,0.001,0,0,2.13295992998985e-06,"s2","true"
"min.4",143,99.944,0.654,1.036,2.059,0.708,1,2.49697430736082e-12,"s2","alt"
"max.4",41612914,121.181,5,44.698,19.292,1.971,50,4380.97615560929,"s2","alt"
"median.4",1060179,100.039,1.525,32.158,5.812,1.048,21.86,0.120856434556607,"s2","alt"
"mad.4",1453494,0.043,0.248,5.937,0.896,0.003,19.65,0.164125470697584,"s2","alt"
"min.5",539,99.959,0.729,19.341,5.635,0.799,4.88,0.005620027391706,"s2","error"
"max.5",8804668,100.479,5,41.404,14.231,1.058,45.27,37.5373987208155,"s2","error"
"median.5",540733,100.061,1.646,30.649,6.287,1.043,26.7,0.181257800434152,"s2","error"
"mad.5",743087,0.02,0.056,2.32,0.143,0.003,5.42,0.143872337811038,"s2","error"
"min.6",181,99.996,0.716,32.407,4.281,1.049,8.53,1.88331503795529e-12,"s3","true"
"max.6",10781682,100.004,0.725,32.582,4.319,1.051,8.68,0.000524151772808317,"s3","true"
"median.6",307321,100,0.72,32.5,4.3,1.05,8.6,1.41086492125032e-06,"s3","true"
"mad.6",403900,0,0,0.003,0.001,0,0,1.96986105211096e-06,"s3","true"
"min.7",46,94.313,0.651,1,1.784,0.01,1.78,0.00350410454490108,"s3","alt"
"max.7",13746207,119.929,5,44.711,30.11,1.944,50,1514.56748663985,"s3","alt"
"median.7",348259,100.035,1.514,32.122,6.158,1.049,21.53,0.0423854148453264,"s3","alt"
"mad.7",476901,0.04,0.258,6.016,0.593,0.001,24.62,0.0576409319557489,"s3","alt"
"min.8",2255,100.005,0.736,27.827,5.632,1.047,4.87,0.00373257469280567,"s3","error"
"max.8",7949920,100.108,1.693,38.477,10.326,1.051,40.99,0.226724123307094,"s3","error"
"median.8",429570,100.086,1.658,30.366,6.235,1.049,27.2,0.153687781524361,"s3","error"
"mad.8",593110,0.02,0.045,1.968,0.147,0.001,4.25,0.083136225351538,"s3","error"
