"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"1",100.1,4.61,18.9,5,15.5,"saddle",26359,8.52341662911273
"2",116.5,3.65,1.3,5,1.9,"minimum",1922,1487.52331511252
"8",94.1,5,50,4.7,49.6,"saddle",177,191.119943926109
"20",93.4,0.34,50,0.01,50,"saddle",94,194.687872066496
"173",93.4,0.34,50,0.01,48.7,"saddle",73,194.41225016601
"14",93.4,0.34,50,0.01,49.8,"saddle",71,194.645204768158
"163",93.4,0.34,50,0.01,48.8,"saddle",69,194.433303369328
"116",93.4,0.34,50,0.01,48.9,"saddle",65,194.454382158779
"146",93.4,0.34,50,0.01,48.5,"saddle",56,194.370221452826
"17",93.4,0.34,50,0.01,49.9,"saddle",55,194.666526865595
"12",100.1,4.61,18.9,5,15.5,"minimum",49,8.52341662911273
"223",93.4,0.34,50,0.01,49,"saddle",49,194.475486302244
"239",93.4,0.34,50,0.01,48.6,"saddle",44,194.391222782257
"210",93.4,0.34,50,0.01,48.4,"saddle",37,194.349246413804
"25",93.4,0.34,50,0.01,49.7,"saddle",36,194.623905993576
"232",93.4,0.34,50,0.01,48.2,"saddle",35,194.307376158037
"160",93.4,0.34,50,0.01,49.1,"saddle",34,194.496615568913
"231",93.4,0.34,50,0.01,48.1,"saddle",32,194.286481420196
"62",93.4,0.34,50,0.01,49.2,"saddle",30,194.517769729275
"233",93.4,0.34,50,0.01,48.3,"saddle",30,194.328297902616
"180",93.4,0.34,50,0.01,45,"saddle",29,193.653515715413
"236",93.4,0.34,50,0.01,48,"saddle",26,194.265613930586
"46",93.4,0.34,50,0.01,49.5,"saddle",25,194.581379296736
"182",93.4,0.34,50,0.01,44.8,"saddle",25,193.613761138877
"185",93.4,0.34,50,0.01,45.5,"saddle",22,193.75351768735
"189",93.4,0.34,50,0.01,45.3,"saddle",22,193.713412812358
"47",93.4,0.34,50,0.01,44.2,"saddle",21,193.495371858174
"115",93.4,0.34,50,0.01,49.6,"saddle",21,194.602630762477
"179",93.4,0.34,50,0.01,44.6,"saddle",21,193.574150730038
"190",93.4,0.34,50,0.01,44.9,"saddle",21,193.633620552232
"71",93.4,0.34,50,0.01,45.4,"saddle",20,193.733448091609
"183",93.4,0.34,50,0.01,44.3,"saddle",20,193.515010587673
"200",93.4,0.34,50,0.01,44.7,"saddle",20,193.593937767023
"240",93.4,0.34,50,0.01,47.7,"saddle",20,194.203177386707
"140",93.4,0.34,50,0.01,41.5,"saddle",19,192.98045784896
"150",93.4,0.34,50,0.01,49.3,"saddle",18,194.538948555111
"181",93.4,0.34,50,0.01,44.5,"saddle",18,193.554400323
"123",93.4,0.34,50,0.01,45.1,"saddle",17,193.673446338429
"134",93.4,0.34,50,0.01,42.4,"saddle",17,193.148644646477
"135",93.4,0.34,50,0.01,42.3,"saddle",17,193.129778360221
"147",93.4,0.34,50,0.01,42.8,"saddle",17,193.224542225814
"178",93.4,0.34,50,0.01,43.9,"saddle",17,193.436683851922
"184",93.4,0.34,50,0.01,45.2,"saddle",17,193.693412132962
"192",93.4,0.34,50,0.01,44.4,"saddle",17,193.534686842703
"234",93.4,0.34,50,0.01,47.8,"saddle",17,194.223961668901
"136",93.4,0.34,50,0.01,41.8,"saddle",16,193.036112495885
"148",93.4,0.34,50,0.01,42.2,"saddle",16,193.110955989973
"88",93.4,0.34,50,0.01,39,"saddle",15,192.533960117699
"106",93.4,0.34,50,0.01,41.3,"saddle",15,192.943587625743
"142",93.4,0.34,50,0.01,41,"saddle",15,192.888638755532
"191",93.4,0.34,50,0.01,43.4,"saddle",15,193.33964955776
"86",93.4,0.34,50,0.01,39.2,"saddle",14,192.568467727044
"131",93.4,0.34,50,0.01,41.6,"saddle",14,192.99896317738
"177",93.4,0.34,50,0.01,43.7,"saddle",14,193.397751726454
"50",93.4,0.34,50,0.01,42.6,"saddle",13,193.186507617863
"55",93.4,0.34,50,0.01,39.3,"saddle",13,192.585804943786
"79",93.4,0.34,50,0.01,41.7,"saddle",13,193.017514843774
"105",93.4,0.34,50,0.01,41.4,"saddle",13,192.961999212903
"119",93.4,0.34,50,0.01,40.5,"saddle",13,192.798032194329
"132",93.4,0.34,50,0.01,41.9,"saddle",13,193.054755783567
"151",93.4,0.34,50,0.01,43.8,"saddle",13,193.41719826248
"156",93.4,0.34,50,0.01,43.6,"saddle",13,193.378344554818
"23",93.4,0.34,50,0.01,47.9,"saddle",12,194.244773932072
"76",93.4,0.34,50,0.01,47.6,"saddle",12,194.182421332524
"108",93.4,0.34,50,0.01,40.6,"saddle",12,192.816054292019
"139",93.4,0.34,50,0.01,44,"saddle",12,193.456208185624
"149",93.4,0.34,50,0.01,43.5,"saddle",12,193.358977060372
"187",93.4,0.34,50,0.01,44.1,"saddle",12,193.475770956229
"193",93.4,0.34,50,0.01,45.6,"saddle",12,193.773621317844
"197",93.4,0.34,50,0.01,43.3,"saddle",12,193.320362363478
"244",93.4,0.34,50,0.01,47.4,"saddle",12,194.140994903363
"18",100.1,4.61,18.9,5,15.4,"saddle",11,16.4498109754881
"69",93.4,0.34,50,0.01,42,"saddle",11,193.073444358774
"90",93.4,0.34,50,0.01,40.2,"saddle",11,192.744269561689
"96",93.4,0.34,50,0.01,38.6,"saddle",11,192.465623791174
"97",93.4,0.34,50,0.01,38.3,"saddle",11,192.414978830712
"100",93.4,0.34,50,0.01,38.9,"saddle",11,192.516790549419
"109",93.4,0.34,50,0.01,42.1,"saddle",11,193.092177875542
"143",93.4,0.34,50,0.01,43.1,"saddle",11,193.281910175233
"204",93.4,0.34,50,0.01,46,"saddle",11,193.854370609017
"92",93.4,0.34,50,0.01,40.7,"saddle",10,192.834126370156
"93",93.4,0.34,50,0.01,40.4,"saddle",10,192.780060453699
"99",93.4,0.34,50,0.01,38.8,"saddle",10,192.499677692639
"130",93.4,0.34,50,0.01,40.8,"saddle",10,192.852248054429
"133",93.4,0.34,50,0.01,39.8,"saddle",10,192.67330889314
"145",93.4,0.34,50,0.01,40,"saddle",10,192.708684675621
"155",93.4,0.34,50,0.01,42.9,"saddle",10,193.243623065192
