"","RMSE","MAPE","data","set"
"min",0,0,"100","true"
"max",0.002,0.001,"100","true"
"median",0,0,"100","true"
"mad",0,0,"100","true"
"min.1",0.276,0.214,"100","alternate"
"max.1",4.532,3.175,"100","alternate"
"median.1",0.276,0.218,"100","alternate"
"mad.1",0,0,"100","alternate"
"min.2",0.276,0.218,"100","error"
"max.2",0.276,0.218,"100","error"
"median.2",0.276,0.218,"100","error"
"mad.2",0,0,"100","error"
"min.3",0,0,"50","true"
"max.3",0.002,0.002,"50","true"
"median.3",0,0,"50","true"
"mad.3",0,0,"50","true"
"min.4",0.277,0.211,"50","alternate"
"max.4",5.269,3.981,"50","alternate"
"median.4",0.277,0.213,"50","alternate"
"mad.4",0,0,"50","alternate"
"min.5",0.277,0.213,"50","error"
"max.5",0.277,0.213,"50","error"
"median.5",0.277,0.213,"50","error"
"mad.5",0,0,"50","error"
"min.6",0,0,"33","true"
"max.6",0.002,0.002,"33","true"
"median.6",0,0,"33","true"
"mad.6",0,0,"33","true"
"min.7",0.243,0.185,"33","alternate"
"max.7",5.288,4.055,"33","alternate"
"median.7",0.243,0.188,"33","alternate"
"mad.7",0,0,"33","alternate"
"min.8",0.243,0.188,"33","error"
"max.8",1.773,1.297,"33","error"
"median.8",0.243,0.188,"33","error"
"mad.8",0,0,"33","error"
