"","startRSS","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","optimRSS","scenario","set"
"min",288,99.997,0.718,28.47,1.198,8.583,0,"s1","true"
"max",12893022,100.003,0.722,28.539,1.202,8.612,0,"s1","true"
"median",529882,100,0.72,28.5,1.2,8.6,0,"s1","true"
"mad",710954,0,0,0,0,0,0,"s1","true"
"min.1",457,90.552,0.01,1.187,0.01,1.93,11.17,"s1","alt"
"max.1",12771646,116.974,5,50,5,50,3019.36,"s1","alt"
"median.1",616682,100.16,4.601,18.823,5,15.374,11.17,"s1","alt"
"mad.1",845510,0,0,0,0,0,0,"s1","alt"
"min.2",13268,100.16,4.601,18.823,5,15.374,11.17,"s1","error"
"max.2",7401559,100.16,4.601,18.823,5,15.374,11.17,"s1","error"
"median.2",655974,100.16,4.601,18.823,5,15.374,11.17,"s1","error"
"mad.2",860297,0,0,0,0,0,0,"s1","error"
"min.3",135,99.996,0.717,28.465,1.197,8.574,0,"s2","true"
"max.3",6470310,100.003,0.722,28.558,1.202,8.616,0,"s2","true"
"median.3",267974,100,0.72,28.5,1.2,8.6,0,"s2","true"
"mad.3",359878,0,0,0,0,0,0,"s2","true"
"min.4",227,91.632,0.01,1.298,0.01,1.891,5.66,"s2","alt"
"max.4",6453151,116.523,5,50,5,50,2054.28,"s2","alt"
"median.4",305719,100.088,4.61,18.907,5,15.468,5.66,"s2","alt"
"mad.4",416832,0,0,0,0,0,0,"s2","alt"
"min.5",7159,100.088,4.61,18.907,5,15.468,5.66,"s2","error"
"max.5",4484160,100.088,4.61,18.907,5,15.468,5.66,"s2","error"
"median.5",480631,100.088,4.61,18.907,5,15.468,5.66,"s2","error"
"mad.5",555066,0,0,0,0,0,0,"s2","error"
"min.6",101,99.997,0.716,28.434,1.197,8.569,0,"s3","true"
"max.6",4266927,100.004,0.724,28.565,1.203,8.632,0,"s3","true"
"median.6",178693,100,0.72,28.5,1.2,8.6,0,"s3","true"
"mad.6",239610,0,0,0,0,0,0,"s3","true"
"min.7",306,91.746,0.01,1,0.01,1.684,2.89,"s3","alt"
"max.7",4018048,116.136,5,50,5,50,1370.32,"s3","alt"
"median.7",197519,99.944,4.624,18.977,5,15.566,2.89,"s3","alt"
"mad.7",269993,0,0,0,0,0,0,"s3","alt"
"min.8",1920,93.744,0.334,18.977,0.01,15.566,2.89,"s3","error"
"max.8",2239363,99.944,5,50,5,49.641,154.04,"s3","error"
"median.8",415359,99.944,4.624,18.977,5,15.566,2.89,"s3","error"
"mad.8",477229,0,0,0,0,0,0,"s3","error"
